num_features,mean_area,max_area,min_area,num_tracks,mean_lifetime,max_lifetime,min_lifetime,mean_velocity,max_velocity,min_velocity,n_min_threshold
50486,53145.05312617773,1705500.5625,2862.6136363636365,1967,10.06049822064057,73.0,6.0,14.016506291502992,77.50478006444037,1.2316502133274656,118
13158,157561.32536301142,1705500.5625,23301.964285714286,544,11.34375,67.0,6.0,13.161694796761614,37.62137736865726,2.1665275494119345,987
10035,192410.296621974,1705500.5625,34242.75,435,11.526436781609195,66.0,6.0,13.570029672789929,37.62137736865726,2.8199714980976576,1481
9743,197119.17012370648,1705500.5625,34699.82142857143,421,11.600950118764846,66.0,6.0,13.595242750110085,37.62137736865726,2.8199714980976576,1550
8302,216090.2817118817,1705500.5625,47619.0,374,11.585561497326204,66.0,6.0,13.586032383933015,37.62137736865726,2.8448895698702095,1975
7056,250057.6406838525,1705500.5625,59848.875,309,11.925566343042071,66.0,6.0,13.724940144044101,37.62137736865726,1.9610356997398317,2469
