num_features,mean_area,max_area,min_area,num_tracks,mean_lifetime,max_lifetime,min_lifetime,mean_velocity,max_velocity,min_velocity,threshold
5361,117932.4134605021,494375.39999999997,43524.84375,256,11.7421875,61.0,6.0,12.409156658014624,36.89365457813905,2.2282625968770877,225
6342,133713.8716249492,677189.7794117647,46071.00000000001,317,12.277602523659306,61.0,6.0,12.931942446938985,39.93630620110363,1.6681515769220656,230
7114,151883.9055708626,807949.6875,43972.875,333,13.03903903903904,69.0,6.0,12.754652551898893,40.9137565659847,2.3047662258907167,235
7661,181792.43786600925,924293.53125,48055.78125,347,13.112391930835734,93.0,6.0,12.719987518015394,42.93212022119235,2.7038964396159035,240
7718,191800.6382721929,915308.1,49901.0625,341,13.17008797653959,65.0,6.0,12.755796749709896,42.89402363106092,2.522872444788127,241
7972,216733.99878356312,1125940.5,44884.125,356,13.275280898876405,81.0,6.0,12.641364108630865,42.326985590907334,2.651991179320035,245
