num_features,mean_area,max_area,min_area,num_tracks,mean_lifetime,max_lifetime,min_lifetime,mean_velocity,max_velocity,min_velocity,threshold
5303,148346.11051252196,886713.0750000001,45874.92857142857,249,11.333333333333334,51.0,6.0,13.790365633674122,35.26193877461304,2.923373598503742,225
6625,168995.51881557438,1024989.4285714286,43713.96428571429,302,11.592715231788079,52.0,6.0,14.420462891940533,37.08187503057161,2.520674899693546,230
7562,198189.85411369265,1193500.5319148935,45911.8125,319,12.35423197492163,53.0,6.0,14.218641385938948,32.758955146803906,1.9185348642050133,235
8302,216090.2817118817,1705500.5625,47619.0,374,11.585561497326204,66.0,6.0,13.586032383933015,37.62137736865726,2.8448895698702095,240
8381,227933.52804586326,1734622.59375,46831.5,374,11.596256684491978,66.0,6.0,13.58637935594099,37.97225007285149,2.7740134230470916,241
8522,263680.27189609164,1960194.4772727273,52157.25,351,12.282051282051283,113.0,6.0,13.958016877427903,39.005162947607,2.4702207368926694,245
