num_features,mean_area,max_area,min_area,num_tracks,mean_lifetime,max_lifetime,min_lifetime,mean_velocity,max_velocity,min_velocity,n_min_threshold
61409,42516.36385171224,2153253.375,2892.857142857143,2628,9.863774733637747,81.0,6.0,14.108169594099625,73.72149089122667,1.085753303474177,118
15150,133990.8959007539,2148459.1875,22601.892857142855,659,10.866464339908953,77.0,6.0,13.13858205388183,43.07325477289571,1.9280835287311642,987
11265,168387.77230411835,2148459.1875,34132.82142857143,494,10.890688259109313,77.0,6.0,13.376838829282631,37.66439661360837,2.891097250928726,1481
10891,172723.78371929834,2148459.1875,34132.82142857143,478,10.98326359832636,77.0,6.0,13.409940201434694,37.66439661360837,2.891097250928726,1550
9120,196724.66597704083,2148459.1875,45557.4375,414,10.818840579710145,77.0,6.0,13.861221486898717,47.54448681985192,2.714166901151592,1975
7626,226563.8059666224,2241349.159090909,55872.64285714286,343,10.959183673469388,77.0,6.0,13.900718483495211,48.53364253140205,2.714166901151592,2469
