num_features,mean_area,max_area,min_area,num_tracks,mean_lifetime,max_lifetime,min_lifetime,mean_velocity,max_velocity,min_velocity,threshold
6315,163754.10708672248,993571.0147058824,48568.17857142857,294,10.57482993197279,55.0,6.0,13.88579005198385,29.597066001598037,3.138823658099806,225
7499,193844.0924836823,1756938.09375,44347.5,323,10.975232198142415,76.0,6.0,14.266194454085179,33.649296914718356,3.1027451280412297,230
8359,211233.3566620202,1985445.421875,46172.89285714286,387,10.503875968992247,124.0,6.0,14.057280895125603,35.314732218353036,2.5755168111641797,235
9081,239005.1365921841,2414114.7954545454,49594.78125,391,11.406649616368286,75.0,6.0,13.899971609645695,35.024294443077814,2.882870615639431,240
9122,253137.63662191393,2543058.0,44069.78571428571,405,11.237037037037037,79.0,6.0,14.22054374071167,34.32968459769934,2.6785849869676706,241
9192,290385.93360955734,3064564.125,47355.75,381,11.761154855643044,75.0,6.0,14.072207581017585,31.651516415956355,2.123046737652552,245
