num_features,mean_area,max_area,min_area,num_tracks,mean_lifetime,max_lifetime,min_lifetime,mean_velocity,max_velocity,min_velocity,threshold
1168,114968.1870475183,419604.41911764705,50546.89285714286,59,17.45,167.0,6.0,67.81348381545352,359.39648040748716,9.957066533953775,225
1492,132761.4276590371,361453.5,47110.17857142857,78,16.481012658227847,167.0,6.0,73.66336500880622,544.0143314397874,4.420876826979186,230
1743,161337.8331310328,530319.4112903225,52812.0,72,21.15068493150685,167.0,6.0,61.400873143696366,434.40613107118253,9.169440098997345,235
1893,170085.4768540812,584622.9,54270.0,92,18.06451612903226,167.0,6.0,70.7973314443305,519.6516221133835,5.974548214997673,240
1911,183807.39323627896,668346.576923077,61324.78846153846,92,18.376344086021504,167.0,6.0,61.96140957704588,491.5171008612628,4.010132710526416,241
1979,221536.87002686472,883783.9903846154,55360.96875,85,19.930232558139537,167.0,6.0,71.75659640305533,607.5478272357905,6.185504405194288,245
