num_features,mean_area,max_area,min_area,num_tracks,mean_lifetime,max_lifetime,min_lifetime,mean_velocity,max_velocity,min_velocity,threshold
5527,131019.8073165653,829835.55,43745.78571428571,238,10.785714285714286,78.0,6.0,13.410112538275959,39.677323699465106,3.82447636335246,225
6963,144911.5154391335,1178853.75,45855.0,300,11.42,73.0,6.0,13.09290569888466,32.62252861701182,2.9975114365462296,230
8130,165777.0556262294,1357161.075,48400.03125,378,10.920634920634921,57.0,6.0,13.556024833540524,35.372744603507606,1.372849960025419,235
9120,196724.66597704083,2148459.1875,45557.4375,414,10.818840579710145,77.0,6.0,13.861221486898717,47.54448681985192,2.714166901151592,240
9291,201450.39466278933,2122803.703125,44284.21875,418,10.88755980861244,80.0,6.0,13.531310357914846,38.70587467968147,2.8519374212960598,241
9652,235241.11268745008,2582026.875,48840.74999999999,416,10.908653846153847,55.0,6.0,13.797438747859484,42.2348818039991,2.3127839197720514,245
