num_features,mean_area,max_area,min_area,num_tracks,mean_lifetime,max_lifetime,min_lifetime,mean_velocity,max_velocity,min_velocity,n_min_threshold
55752,52506.193807113414,2315485.1842105263,3031.714285714286,2209,9.995473064735174,66.0,6.0,13.956707209378118,78.06437038314552,1.1140776767182092,118
14510,165895.87310263317,2414114.7954545454,24728.625,577,11.235701906412478,75.0,6.0,13.603814564919851,40.83902389636788,1.4611690107306199,987
10982,210050.028157565,2414114.7954545454,37408.5,452,11.36283185840708,75.0,6.0,13.836776417543375,35.024294443077814,2.882870615639431,1481
10660,211761.74391901508,2414114.7954545454,39070.92857142857,449,11.351893095768375,75.0,6.0,13.938435135488895,35.024294443077814,2.882870615639431,1550
9081,239005.1365921841,2414114.7954545454,49594.78125,391,11.406649616368286,75.0,6.0,13.899971609645695,35.024294443077814,2.882870615639431,1975
7763,266192.6599134591,2414114.7954545454,57929.46428571429,341,11.36950146627566,75.0,6.0,13.947161934672565,35.024294443077814,2.7913915799304863,2469
