num_features,mean_area,max_area,min_area,num_tracks,mean_lifetime,max_lifetime,min_lifetime,mean_velocity,max_velocity,min_velocity,n_min_threshold
44054,42659.64229938082,924293.53125,2832.107142857143,1927,10.594706798131812,60.0,6.0,13.192650178835379,74.69153698481166,1.0450535188997834,118
11963,129296.1931440761,924293.53125,21462.107142857145,535,12.37570093457944,93.0,6.0,12.212276350227157,31.7099038067423,2.052221290306678,987
9181,156436.56442822138,924293.53125,33175.28571428571,424,12.587264150943396,93.0,6.0,12.551599296332782,33.83869541451304,1.5664364153020212,1481
8933,162180.79455205367,924293.53125,37260.0,402,12.751243781094526,93.0,6.0,12.479962411773638,33.83869541451304,1.5664364153020212,1550
7661,181792.43786600925,924293.53125,48055.78125,347,13.112391930835734,93.0,6.0,12.719987518015394,42.93212022119235,2.7038964396159035,1975
6688,200158.59258651696,924293.53125,58059.00000000001,309,13.110032362459547,93.0,6.0,12.853488135633754,33.83869541451304,2.7038964396159035,2469
